类别,书名,作者,价格,出版社,商家,简介
大陆原创青春文学,肆意予你（人气作者鹿灵再度延续「命定爱情」，美飒烂漫设计师vs危险迷人资本家）,鹿灵,65.00,青岛出版社,自营,★甜爽/偏爱/博弈/真心 ★ 所有人都未曾想到，程懿精明一生，清醒又薄情，有朝一日竟会将一个小姑娘捧在手心，心甘情愿地肆意沉沦，做她裙下侍臣。 畅销书作家鹿灵口口相传之作，再度延续命定爱情，万千读者交口称赞。 ★ 精美装帧，赠品多多，珍贵典藏。内外双封，知名画手唯美封面、彩插，全新内文设计，隽雅清秀。 ★ 随书心意赠品，独家番外，诚意放送。
大陆原创青春文学,天官赐福：全三册 全球畅销书作者墨香铜臭超人气口碑力作，全新修订，重磅推出！正文新增数万字全新内容，独家万字新番外+手写,墨香铜臭,215.00,广东旅游出版社,哈尼兔图书专营店,暂无简介
大陆原创青春文学,肆意予你 鹿灵 著 甜爽/偏爱/博弈/真心 美飒烂漫设计师x危险迷人资本家 新增六则番外 独家甜蜜解锁 内外双封,肆意予你,45.50,青岛出版社,凯福图书专营店,暂无简介
大陆原创青春文学,南城青林 晋江双女主青春逐梦人气作品 讨酒的叫花子致敬梦想代表作 知性风姐姐何青柔VS清冷系妹妹 林奈 敬你们 敬梦想,讨酒的叫花子/欣欣向爱,49.80,长江出版社,自营,暂无简介
大陆原创青春文学,恰逢雨连天·终结篇（沉筱之口碑之作，继《琅琊榜》后不可不看的权谋群像古言，新增独家番外《云中谁寄锦书来》）,沉筱之/悦读纪,41.90,青岛出版社,自营,1.《恰逢雨连天 终结篇》全新上市，全书修订，全网番外统一收录，新增七千字独家番外《云中谁寄锦书来》 2.近十年来不可不读的权谋古言之作，媲美《琅琊榜》《鹤唳华亭》，全网好评，知乎用户书单里的 白月光 ，小红书读者评价其 格局宏大、构思精巧、不看后悔 ，豆瓣专组无数读者心中的 年度 。 3.时局为盘，众人皆是棋子。在这乱局之中，哪怕身为棋子，也要有执棋人之心，纵然满眼荒唐，也当暗夜行舟，只向明月。 4.群像人物，经典塑造，每个人都惊才绝艳，每个人都有血有肉。 5.制作精良，彩色印刷8页，80g雅致纸张印刷。赠品精美，特制柳昀写给苏时雨的信、四大主角团人物明信片、海报及藏书票。 6.你所往之处横亘山川河流，目之所及或有乌云蔽日。但你胸怀坦荡，何须在意谁会搅弄风云？只要心中明月常在，总有揽月之日。
大陆原创青春文学,文艺风·爱格时尚10月刊,爱格/中南天使,8.80,湖南文艺出版社,自营,暂无简介
大陆原创青春文学,脑洞W特辑·梦游的九十九年,清酒一刀,17.20,长江出版社,自营,暂无简介
大陆原创青春文学,有你的年少时光,西小洛,17.80,知识出版社,自营,小小的感动，小小的伤感，小小的喜悦，后，笑着放下书本。问自己，我年少的时候，似乎也这样喜欢过一个人，不知道他现在过得还好不好？非常有共鸣的一本书，能够带领大家一起回到学生时代，珍惜学生时代。
大陆原创青春文学,无双·下,梦溪石,22.80,中国致公出版社,自营,●《无双》讲述的是一个古风悬疑探案故事，既有庙堂之高，亦有江湖之远。整部作品一共分为上中下三册，本册为《无双》下部。在经历风风雨雨之后，崔不去与凤霄之间的感情也更加复杂深厚，二人携手同心，一同对敌，而一直蛰伏于前两部的惊天阴谋终于现出真身，埋下的伏笔暗线一一显露、串联，正反两派迎来决战，生死存亡皆系于此！ ●作者为晋江大神梦溪石，以考据详实、文风诙谐、世界观宏大、三观端正赢得众多读者喜爱，知名度高且有着固定的忠实粉丝群体，其作品均在晋江金榜上占有一席之地。已出版《成化十四年》《麟趾》《千秋》等多部作品，其中《成化十四年》已改编成影视，由爱奇艺出品，成龙担任监制。 ●《无双》影视改编版权已售出。 ●梦溪石笔下，有惊心动魄的江湖，也有风云诡谲的朝堂，有惊险刺激的探案，更有搞笑平和的
大陆原创青春文学,庆余年·远来是客【当当独家赠送限量张若昀陈道明李沁海报+8张剧照明信片】,猫腻,30.80,人民文学出版社,自营,暂无简介
